customer_id,Frequency,Monetary,total_items_purchased,total_orders_returned,Recency,return_rate,R_Score,F_Score,M_Score,RFM_Cell,RFM_Score_Sum
CUST00098,2,1843.57,3,0,184,0.0,1,2,3,123,6
CUST00099,5,3410.87,6,0,144,0.0,2,4,4,244,10
CUST00100,1,372.37,1,0,70,0.0,3,1,1,311,5
CUST00101,5,3514.87,7,0,108,0.0,2,4,4,244,10
CUST00102,1,732.65,1,0,83,0.0,3,1,2,312,6
CUST00103,1,1469.96,2,0,21,0.0,4,1,3,413,8
CUST00104,1,955.63,2,0,93,0.0,2,1,2,212,5
CUST00105,1,2052.43,3,0,46,0.0,4,1,3,413,8
CUST00106,7,4352.11,10,0,61,0.0,3,5,5,355,13
CUST00107,3,3548.15,7,0,12,0.0,5,3,4,534,12
CUST00108,1,0.0,2,1,44,1.0,4,1,1,411,6
CUST00109,5,3837.05,10,0,92,0.0,2,4,5,245,11
CUST00110,6,3922.07,8,0,35,0.0,4,5,5,455,14
CUST00111,1,1135.09,2,0,178,0.0,1,1,2,112,4
CUST00112,8,4883.94,12,1,0,0.125,5,5,5,555,15
CUST00113,2,1601.31,4,0,28,0.0,4,2,3,423,9
CUST00114,6,5133.53,10,0,239,0.0,1,5,5,155,11
CUST00115,1,596.54,1,0,159,0.0,1,1,1,111,3
CUST00116,6,5635.9,10,0,143,0.0,2,5,5,255,12
CUST00117,4,2534.33,5,0,123,0.0,2,4,4,244,10
CUST00118,1,689.56,1,0,27,0.0,4,1,1,411,6
CUST00119,3,2848.36,6,0,69,0.0,3,3,4,334,10
CUST00120,1,261.95,1,0,26,0.0,4,1,1,411,6
CUST00121,2,2496.0299999999997,4,0,27,0.0,4,2,4,424,10
CUST00122,2,2048.93,6,0,106,0.0,2,2,3,223,7
CUST00123,6,2470.87,7,1,102,0.16666666666666666,2,5,4,254,11
CUST00124,4,2570.5,5,0,194,0.0,1,4,4,144,9
CUST00125,2,1698.4,5,0,8,0.0,5,2,3,523,10
CUST00126,2,1260.02,4,0,57,0.0,3,2,2,322,7
CUST00127,2,729.55,2,0,24,0.0,4,2,2,422,8
CUST00128,2,1716.68,4,0,19,0.0,5,2,3,523,10
CUST00129,3,2961.26,7,1,83,0.3333333333333333,3,3,4,334,10
CUST00130,1,1272.47,3,0,88,0.0,2,1,2,212,5
CUST00131,6,6830.01,14,0,67,0.0,3,5,5,355,13
CUST00132,5,4876.780000000001,10,0,117,0.0,2,4,5,245,11
CUST00133,8,5982.58,14,0,54,0.0,3,5,5,355,13
CUST00134,5,3635.96,8,1,35,0.2,4,4,4,444,12
CUST00135,4,2534.18,8,0,333,0.0,1,4,4,144,9
CUST00136,1,514.9,1,0,71,0.0,3,1,1,311,5
CUST00137,2,1035.87,2,0,177,0.0,1,2,2,122,5
CUST00138,1,905.11,3,0,61,0.0,3,1,2,312,6
CUST00139,2,1715.4,4,0,28,0.0,4,2,3,423,9
CUST00140,4,3768.34,7,0,6,0.0,5,4,5,545,14
CUST00141,1,647.85,1,0,28,0.0,4,1,1,411,6
CUST00142,5,1880.0,6,0,169,0.0,1,4,3,143,8
CUST00143,6,7407.96,13,0,32,0.0,4,5,5,455,14
CUST00144,9,5008.58,14,1,86,0.1111111111111111,2,5,5,255,12
CUST00145,1,502.35,1,0,30,0.0,4,1,1,411,6
CUST00146,5,4830.04,11,1,108,0.2,2,4,5,245,11
CUST00147,3,2809.3199999999997,6,0,84,0.0,3,3,4,334,10
CUST00148,4,3013.01,6,0,4,0.0,5,4,4,544,13
CUST00149,1,787.94,2,0,8,0.0,5,1,2,512,8
CUST00150,3,1355.63,3,0,45,0.0,4,3,2,432,9
CUST00151,7,5530.69,12,0,62,0.0,3,5,5,355,13
CUST00152,7,4175.91,16,1,46,0.14285714285714285,4,5,5,455,14
CUST00153,1,977.12,2,0,3,0.0,5,1,2,512,8
CUST00154,8,7145.24,15,0,10,0.0,5,5,5,555,15
CUST00155,3,2024.8,5,0,2,0.0,5,3,3,533,11
CUST00156,2,2467.83,7,1,34,0.5,4,2,4,424,10
CUST00157,5,2269.91,5,0,0,0.0,5,4,3,543,12
CUST00158,1,812.34,1,0,155,0.0,1,1,2,112,4
CUST00159,2,3713.77,5,0,474,0.0,1,2,4,124,7
CUST00160,2,1064.66,2,0,177,0.0,1,2,2,122,5
CUST00161,4,4490.9,8,0,20,0.0,5,4,5,545,14
CUST00162,2,1194.5900000000001,2,0,91,0.0,2,2,2,222,6
CUST00163,1,275.41,1,0,70,0.0,3,1,1,311,5
CUST00164,5,4657.03,8,0,222,0.0,1,4,5,145,10
CUST00165,3,1825.77,4,0,103,0.0,2,3,3,233,8
CUST00166,1,1269.41,2,0,15,0.0,5,1,2,512,8
CUST00167,1,423.24,1,0,219,0.0,1,1,1,111,3
CUST00168,4,4159.16,9,0,85,0.0,3,4,5,345,12
CUST00169,1,1799.45,2,0,222,0.0,1,1,3,113,5
CUST00170,10,6759.48,13,0,9,0.0,5,5,5,555,15
CUST00171,1,1077.78,3,0,12,0.0,5,1,2,512,8
CUST00172,7,4910.65,10,0,8,0.0,5,5,5,555,15
CUST00173,5,1431.69,5,0,79,0.0,3,4,3,343,10
CUST00174,6,2002.74,6,1,86,0.16666666666666666,2,5,3,253,10
CUST00175,4,3568.3199999999997,6,0,59,0.0,3,4,4,344,11
CUST00176,3,3830.31,9,0,37,0.0,4,3,5,435,12
CUST00177,2,1003.66,3,0,82,0.0,3,2,2,322,7
CUST00178,8,4018.88,14,2,5,0.25,5,5,5,555,15
CUST00179,3,1585.62,4,0,38,0.0,4,3,3,433,10
CUST00180,2,1027.03,3,1,96,0.5,2,2,2,222,6
CUST00181,1,1107.73,2,0,6,0.0,5,1,2,512,8
CUST00182,1,305.3,1,0,31,0.0,4,1,1,411,6
CUST00183,3,3246.8900000000003,6,0,152,0.0,1,3,4,134,8
CUST00184,5,5072.85,8,0,14,0.0,5,4,5,545,14
CUST00185,7,4179.18,9,0,114,0.0,2,5,5,255,12
CUST00186,1,714.65,2,0,41,0.0,4,1,2,412,7
CUST00187,3,1344.75,4,0,149,0.0,1,3,2,132,6
CUST00188,7,5041.13,12,1,29,0.14285714285714285,4,5,5,455,14
CUST00189,9,5025.03,13,1,140,0.1111111111111111,2,5,5,255,12
CUST00190,1,482.88,1,0,6,0.0,5,1,1,511,7
CUST00191,1,149.0,1,0,28,0.0,4,1,1,411,6
CUST00192,3,2263.95,4,0,55,0.0,3,3,3,333,9
CUST00193,1,424.74,1,0,157,0.0,1,1,1,111,3
CUST00194,5,2790.25,9,2,80,0.4,3,4,4,344,11
CUST00195,1,654.27,1,0,23,0.0,4,1,1,411,6
CUST00196,2,1272.38,2,0,24,0.0,4,2,2,422,8
CUST00197,9,8552.59,15,0,15,0.0,5,5,5,555,15
CUST00198,9,7595.96,15,0,37,0.0,4,5,5,455,14
CUST00199,4,3273.56,6,0,6,0.0,5,4,4,544,13
CUST00200,6,6239.45,12,0,15,0.0,5,5,5,555,15
CUST00201,7,6691.56,11,0,93,0.0,2,5,5,255,12
CUST00202,1,1220.26,2,0,141,0.0,2,1,2,212,5
CUST00203,2,743.3499999999999,2,0,114,0.0,2,2,2,222,6
CUST00204,5,2706.75,7,0,42,0.0,4,4,4,444,12
CUST00205,5,3202.69,6,0,30,0.0,4,4,4,444,12
CUST00206,10,5887.85,13,1,118,0.1,2,5,5,255,12
CUST00207,1,193.1,1,0,18,0.0,5,1,1,511,7
CUST00208,6,6865.35,11,0,91,0.0,2,5,5,255,12
CUST00209,5,2190.4700000000003,6,1,279,0.2,1,4,3,143,8
CUST00210,2,1254.8700000000001,3,0,128,0.0,2,2,2,222,6
CUST00211,5,27215.920000000002,11,0,90,0.0,2,4,5,245,11
CUST00212,3,2071.6800000000003,4,0,204,0.0,1,3,3,133,7
CUST00213,2,0.0,3,2,86,1.0,2,2,1,221,5
CUST00214,1,1427.16,3,0,64,0.0,3,1,3,313,7
CUST00215,3,1564.1,3,0,34,0.0,4,3,3,433,10
CUST00216,1,0.0,2,1,48,1.0,3,1,1,311,5
CUST00217,3,1179.94,3,0,79,0.0,3,3,2,332,8
CUST00218,2,1492.68,2,0,23,0.0,4,2,3,423,9
CUST00219,6,2782.79,8,0,154,0.0,1,5,4,154,10
CUST00220,3,1450.4099999999999,3,0,25,0.0,4,3,3,433,10
CUST00221,2,781.03,2,0,7,0.0,5,2,2,522,9
CUST00222,2,1259.5,3,0,186,0.0,1,2,2,122,5
CUST00223,1,757.58,3,0,103,0.0,2,1,2,212,5
CUST00224,2,747.2,4,1,89,0.5,2,2,2,222,6
CUST00225,3,3012.6,6,0,88,0.0,2,3,4,234,9
CUST00226,3,992.05,4,1,54,0.3333333333333333,3,3,2,332,8
CUST00227,6,3726.58,8,1,153,0.16666666666666666,1,5,4,154,10
CUST00228,7,3383.8900000000003,11,1,82,0.14285714285714285,3,5,4,354,12
CUST00229,5,3077.41,6,0,92,0.0,2,4,4,244,10
CUST00230,8,7503.74,17,0,37,0.0,4,5,5,455,14
CUST00231,3,1558.41,3,0,23,0.0,4,3,3,433,10
CUST00232,1,786.26,2,0,55,0.0,3,1,2,312,6
CUST00233,3,1626.9899999999998,3,0,361,0.0,1,3,3,133,7
CUST00234,4,2458.9700000000003,5,0,17,0.0,5,4,4,544,13
CUST00235,4,2278.82,4,0,125,0.0,2,4,3,243,9
CUST00236,1,782.89,2,0,62,0.0,3,1,2,312,6
CUST00237,4,3607.29,7,0,15,0.0,5,4,4,544,13
CUST00238,2,2181.78,3,0,78,0.0,3,2,3,323,8
CUST00239,1,208.1,1,0,320,0.0,1,1,1,111,3
CUST00240,2,2277.31,4,0,56,0.0,3,2,3,323,8
CUST00241,3,3041.48,7,0,6,0.0,5,3,4,534,12
CUST00242,6,3655.25,8,0,82,0.0,3,5,4,354,12
CUST00243,4,2684.46,7,1,69,0.25,3,4,4,344,11
CUST00244,2,2449.86,5,0,144,0.0,2,2,4,224,8
CUST00245,2,1245.78,3,0,73,0.0,3,2,2,322,7
CUST00246,3,1985.72,4,0,52,0.0,3,3,3,333,9
CUST00247,11,5611.35,16,0,57,0.0,3,5,5,355,13
CUST00248,7,4187.5599999999995,9,0,71,0.0,3,5,5,355,13
CUST00249,3,1761.46,5,0,162,0.0,1,3,3,133,7
CUST00250,1,837.19,1,0,35,0.0,4,1,2,412,7
CUST00251,1,0.0,2,1,41,1.0,4,1,1,411,6
CUST00252,6,5194.02,12,0,190,0.0,1,5,5,155,11
CUST00253,3,1901.1299999999999,4,0,191,0.0,1,3,3,133,7
CUST00254,4,3041.57,7,0,183,0.0,1,4,4,144,9
CUST00255,6,4196.55,8,1,22,0.16666666666666666,4,5,5,455,14
CUST00256,2,1727.8400000000001,3,0,181,0.0,1,2,3,123,6
CUST00257,2,1042.47,2,0,55,0.0,3,2,2,322,7
CUST00258,10,6259.64,14,0,42,0.0,4,5,5,455,14
CUST00259,1,1519.33,3,0,192,0.0,1,1,3,113,5
CUST00260,2,1820.81,4,0,2,0.0,5,2,3,523,10
CUST00261,1,350.44,1,0,51,0.0,3,1,1,311,5
CUST00262,2,1318.44,2,0,9,0.0,5,2,2,522,9
CUST00263,12,6349.73,19,3,25,0.25,4,5,5,455,14
CUST00264,2,671.0999999999999,2,0,31,0.0,4,2,1,421,7
CUST00265,1,510.24,1,0,77,0.0,3,1,1,311,5
CUST00266,4,3433.25,9,1,158,0.25,1,4,4,144,9
CUST00267,4,3299.26,7,1,29,0.25,4,4,4,444,12
CUST00268,3,2097.02,6,0,9,0.0,5,3,3,533,11
CUST00269,3,2563.9300000000003,5,0,30,0.0,4,3,4,434,11
CUST00270,2,968.72,2,0,75,0.0,3,2,2,322,7
CUST00271,4,3933.98,8,0,32,0.0,4,4,5,445,13
CUST00272,13,13721.27,26,0,12,0.0,5,5,5,555,15
CUST00273,8,5329.93,11,1,13,0.125,5,5,5,555,15
CUST00274,1,695.0,2,0,71,0.0,3,1,2,312,6
CUST00275,6,3879.21,8,0,241,0.0,1,5,5,155,11
CUST00276,6,8721.42,15,0,47,0.0,3,5,5,355,13
CUST00277,3,1630.27,4,0,2,0.0,5,3,3,533,11
CUST00278,4,2768.06,6,0,69,0.0,3,4,4,344,11
CUST00279,8,5366.55,12,0,12,0.0,5,5,5,555,15
CUST00280,8,7231.759999999999,14,0,10,0.0,5,5,5,555,15
CUST00281,2,1161.06,3,0,35,0.0,4,2,2,422,8
CUST00282,2,774.76,2,0,296,0.0,1,2,2,122,5
CUST00283,10,6392.74,18,2,18,0.2,5,5,5,555,15
CUST00284,2,781.62,2,0,291,0.0,1,2,2,122,5
CUST00285,4,2158.18,6,0,13,0.0,5,4,3,543,12
CUST00286,2,2027.25,4,0,369,0.0,1,2,3,123,6
CUST00287,6,6236.95,13,0,69,0.0,3,5,5,355,13
CUST00288,2,1096.1,2,0,110,0.0,2,2,2,222,6
CUST00289,2,811.06,2,0,5,0.0,5,2,2,522,9
CUST00290,1,251.16,1,0,9,0.0,5,1,1,511,7
CUST00291,9,4535.05,12,2,58,0.2222222222222222,3,5,5,355,13
CUST00292,1,0.0,1,1,43,1.0,4,1,1,411,6
CUST00293,3,1699.71,5,0,230,0.0,1,3,3,133,7
CUST00294,1,1714.42,3,0,102,0.0,2,1,3,213,6
CUST00295,2,2000.29,4,0,16,0.0,5,2,3,523,10
CUST00296,4,1989.83,4,0,132,0.0,2,4,3,243,9
CUST00297,1,1130.29,2,0,154,0.0,1,1,2,112,4
CUST00298,1,1122.99,2,0,201,0.0,1,1,2,112,4
CUST00299,4,1523.3200000000002,6,1,343,0.25,1,4,3,143,8
CUST00300,4,2276.6099999999997,5,0,5,0.0,5,4,3,543,12
CUST00301,7,7023.07,14,0,9,0.0,5,5,5,555,15
CUST00302,4,1866.62,7,1,148,0.25,1,4,3,143,8
CUST00303,5,3080.45,6,1,48,0.2,3,4,4,344,11
CUST00304,3,2837.27,6,0,87,0.0,2,3,4,234,9
CUST00305,1,531.59,1,0,166,0.0,1,1,1,111,3
CUST00306,5,3355.78,7,1,19,0.2,5,4,4,544,13
CUST00307,3,1806.75,4,1,32,0.3333333333333333,4,3,3,433,10
CUST00308,2,1535.15,4,0,66,0.0,3,2,3,323,8
CUST00309,3,2731.6099999999997,6,0,8,0.0,5,3,4,534,12
CUST00310,1,0.0,1,1,22,1.0,4,1,1,411,6
CUST00311,1,1336.82,2,0,48,0.0,3,1,2,312,6
CUST00312,1,486.27,1,0,64,0.0,3,1,1,311,5
CUST00313,1,769.77,2,0,162,0.0,1,1,2,112,4
CUST00314,1,560.98,1,0,16,0.0,5,1,1,511,7
CUST00315,10,10137.960000000001,20,0,17,0.0,5,5,5,555,15
CUST00316,2,149.39,3,1,97,0.5,2,2,1,221,5
CUST00317,1,1353.24,2,0,100,0.0,2,1,2,212,5
CUST00318,5,5959.01,10,0,47,0.0,3,4,5,345,12
CUST00319,6,2585.4700000000003,7,0,147,0.0,2,5,4,254,11
CUST00320,7,5001.34,12,0,25,0.0,4,5,5,455,14
CUST00321,6,3100.54,6,0,116,0.0,2,5,4,254,11
CUST00322,5,3351.86,6,0,4,0.0,5,4,4,544,13
CUST00323,8,7225.06,16,0,5,0.0,5,5,5,555,15
CUST00324,4,5715.639999999999,9,1,274,0.25,1,4,5,145,10
CUST00325,3,3542.89,6,0,44,0.0,4,3,4,434,11
CUST00326,3,1868.65,4,0,124,0.0,2,3,3,233,8
CUST00327,3,1087.67,3,0,2,0.0,5,3,2,532,10
CUST00328,1,371.68,1,0,322,0.0,1,1,1,111,3
CUST00329,1,299.28,1,0,1,0.0,5,1,1,511,7
CUST00330,3,1307.8000000000002,4,0,74,0.0,3,3,2,332,8
CUST00331,5,2363.84,7,1,151,0.2,1,4,3,143,8
CUST00332,2,641.84,3,1,24,0.5,4,2,1,421,7
CUST00333,1,870.15,1,0,75,0.0,3,1,2,312,6
CUST00334,3,1438.8200000000002,5,1,85,0.3333333333333333,3,3,3,333,9
CUST00335,3,2480.1,6,0,148,0.0,1,3,4,134,8
CUST00336,4,1900.82,5,0,29,0.0,4,4,3,443,11
CUST00337,2,1887.73,4,0,7,0.0,5,2,3,523,10
CUST00338,1,0.0,2,1,12,1.0,5,1,1,511,7
CUST00339,4,2313.94,7,1,92,0.25,2,4,3,243,9
CUST00340,8,4833.4400000000005,11,1,46,0.125,4,5,5,455,14
CUST00341,1,790.16,3,0,19,0.0,5,1,2,512,8
CUST00342,3,2620.58,7,0,1,0.0,5,3,4,534,12
CUST00343,5,2489.52,5,0,94,0.0,2,4,4,244,10
CUST00344,5,4461.57,8,0,189,0.0,1,4,5,145,10
CUST00345,5,5510.36,9,0,3,0.0,5,4,5,545,14
CUST00346,11,7396.28,18,2,72,0.18181818181818182,3,5,5,355,13
CUST00347,4,3311.46,9,0,184,0.0,1,4,4,144,9
CUST00348,3,2509.74,4,0,1,0.0,5,3,4,534,12
CUST00349,4,3794.38,9,0,74,0.0,3,4,5,345,12
CUST00350,1,537.51,1,0,41,0.0,4,1,1,411,6
CUST00351,7,6785.7,14,1,9,0.14285714285714285,5,5,5,555,15
CUST00352,1,1000.77,2,0,27,0.0,4,1,2,412,7
CUST00353,4,1755.1200000000001,4,0,118,0.0,2,4,3,243,9
CUST00354,5,2894.64,6,0,36,0.0,4,4,4,444,12
CUST00355,4,3405.2,6,0,171,0.0,1,4,4,144,9
CUST00356,5,2474.34,6,0,7,0.0,5,4,4,544,13
CUST00357,1,513.15,1,0,42,0.0,4,1,1,411,6
CUST00358,2,1523.3600000000001,4,0,101,0.0,2,2,3,223,7
CUST00359,8,6332.549999999999,11,0,3,0.0,5,5,5,555,15
CUST00360,6,8052.9800000000005,13,0,2,0.0,5,5,5,555,15
CUST00361,1,0.0,1,1,169,1.0,1,1,1,111,3
CUST00362,4,2137.19,5,0,23,0.0,4,4,3,443,11
CUST00363,1,413.99,1,0,27,0.0,4,1,1,411,6
CUST00364,3,2049.88,4,0,359,0.0,1,3,3,133,7
CUST00365,1,1015.06,2,0,158,0.0,1,1,2,112,4
CUST00366,4,5279.17,9,0,92,0.0,2,4,5,245,11
CUST00367,1,884.81,2,0,212,0.0,1,1,2,112,4
CUST00368,1,0.0,1,1,55,1.0,3,1,1,311,5
CUST00369,3,2263.62,5,0,71,0.0,3,3,3,333,9
CUST00370,1,452.14,1,0,172,0.0,1,1,1,111,3
CUST00371,3,2631.54,6,0,124,0.0,2,3,4,234,9
CUST00372,1,431.11,1,0,56,0.0,3,1,1,311,5
CUST00373,2,1612.8899999999999,3,0,73,0.0,3,2,3,323,8
CUST00374,2,795.8299999999999,2,0,219,0.0,1,2,2,122,5
CUST00375,6,3564.29,8,0,85,0.0,3,5,4,354,12
CUST00376,8,5532.45,12,0,45,0.0,4,5,5,455,14
CUST00377,4,2214.32,4,0,80,0.0,3,4,3,343,10
CUST00378,1,1622.32,3,0,99,0.0,2,1,3,213,6
CUST00379,2,1029.97,2,0,75,0.0,3,2,2,322,7
CUST00380,6,3460.9,7,0,39,0.0,4,5,4,454,13
CUST00381,1,597.86,1,0,182,0.0,1,1,1,111,3
CUST00382,2,766.55,2,0,45,0.0,4,2,2,422,8
CUST00383,6,3758.5299999999997,8,1,8,0.16666666666666666,5,5,5,555,15
CUST00384,1,470.31,1,0,26,0.0,4,1,1,411,6
CUST00385,7,5606.02,12,0,63,0.0,3,5,5,355,13
CUST00386,6,4989.88,9,0,0,0.0,5,5,5,555,15
CUST00387,1,721.21,1,0,40,0.0,4,1,2,412,7
CUST00388,5,2574.36,7,0,37,0.0,4,4,4,444,12
CUST00389,9,6570.38,14,0,14,0.0,5,5,5,555,15
CUST00390,2,1639.4299999999998,4,0,54,0.0,3,2,3,323,8
CUST00391,3,2830.86,6,0,1,0.0,5,3,4,534,12
CUST00392,7,5290.95,13,0,133,0.0,2,5,5,255,12
CUST00393,2,2231.04,3,0,12,0.0,5,2,3,523,10
CUST00394,1,404.19,1,0,1,0.0,5,1,1,511,7
CUST00395,3,1418.71,4,0,35,0.0,4,3,3,433,10
CUST00396,5,3031.7799999999997,6,0,10,0.0,5,4,4,544,13
CUST00397,11,9647.73,19,0,79,0.0,3,5,5,355,13
CUST00398,4,2823.02,6,0,8,0.0,5,4,4,544,13
CUST00399,4,2749.65,6,0,262,0.0,1,4,4,144,9
CUST00400,1,402.05,1,0,44,0.0,4,1,1,411,6
CUST00401,1,568.99,1,0,66,0.0,3,1,1,311,5
CUST00402,3,1410.06,4,0,132,0.0,2,3,2,232,7
CUST00403,2,2029.3200000000002,3,0,21,0.0,4,2,3,423,9
CUST00404,6,4631.52,9,0,193,0.0,1,5,5,155,11
CUST00405,1,0.0,1,1,2,1.0,5,1,1,511,7
CUST00406,3,997.27,3,0,10,0.0,5,3,2,532,10
CUST00407,1,1569.01,3,0,18,0.0,5,1,3,513,9
CUST00408,7,3588.37,8,1,40,0.14285714285714285,4,5,4,454,13
CUST00409,7,2061.71,8,3,58,0.42857142857142855,3,5,3,353,11
CUST00410,2,1365.22,3,0,1,0.0,5,2,2,522,9
CUST00411,1,1756.76,3,0,253,0.0,1,1,3,113,5
CUST00412,1,1486.51,2,0,529,0.0,1,1,3,113,5
CUST00413,3,708.1800000000001,6,1,26,0.3333333333333333,4,3,2,432,9
